Name,Year,Rating,Watchers,Episodes,Ep. Duration,Aired On,Genres,Tags,Main Actors
Goblin,2016,8.8,"254,985",16,01:22,"Friday, Saturday","Comedy,Romance,Fantasy,Melodrama","Older Man/Younger Woman,Interspecies Romance,Dokkaebi,Fate,Bromance,Death,Tearjerker,Supernatural,Age Gap,Secondary Couple","Gong Yoo,Kim Go Eun,Lee Dong Wook,Yoo In Na,Yook Sung Jae"
Strong Woman Do Bong Soon,2016,8.7,"239,773",16,01:07,"Friday, Saturday","Action,Comedy,Romance,Supernatural","Superhuman Strenght,Love Triangle,Nice Male Lead,Father-Daughter Relationship,Rich Male Lead,Badass Female Lead,Bromance","Park Bo Young,Park Hyung Sik,Kim Ji Soo"
It's Okay to Not Be Okay,2020,8.9,"215,957",16,01:15,"Saturday, Sunday","Psychological,Comedy,Romance,Drama","Independent Female Lead,Possessive Female Lead,Successful Female Lead,Healing,Melodrama,Selfless Male Lead,Badass Female Lead,Childhood Connection,Trauma,Mental Illness","Kim Soo Hyun,Seo Yea Ji,Oh Jung Se"
Descendants of the Sun,2016,8.6,"213,187",16,01:00,"Wednesday, Thursday","Action,Comedy,Romance,Supernatural","Military,Bromance,Multiple Couples,Hardworking Male Lead,Medical,Gun Violence,Harworking Female Lead,Father-Daughter Relationship,Friendship,Filmed Abroad","Song Joong Ki,Song Hye Kyo,Jin Goo,Kim Ji Won"
What's Wrong with Secretary Kim,2018,8.5,"212,766",16,01:09,"Wednesday, Thursday","Business,Comedy,Romance","Boss-Employee Relationship,Rich Male Lead,Adapted From A Webtoon,Male Chases Female First,Calm Female Lead,Smart Female Lead,Trauma,Phobia,Narcissistic Male Lead,First Love","Park Min Young,Park Seo Joon"
Weightlifting Fairy Kim Bok Joo,2016,8.8,"212,406",16,01:00,"Wednesday, Thursday","Comedy,Romance,Life,Sports","Friends To Lovers,Weightlifting,Healing,First Love,Bantering Relationship,Male Chases Female First,Swimmingm,Slow Burn Romance,Sismance,Healthy Mains' Relationship","Lee Sung Kyung,Nam Joo Hyuk,Lee Jae Yoon,Kyung Soo Jin"
Crash Landing on You,2019,9.0,"208,913",16,01:25,"Sunday, Saturday","Military,Comedy,Romance,Political","North and South Korea,Soldier Male Lead,Army,Rich Female Lead,Soldier Supporting Character,Intercountry Romance,Fate,Nice Male Lead,Army Captain Male Lead,Calm Male Lead","Hyun Bin,Son Ye Jin,Seo Ji Hye,Kim Jung Hyun"
W,2016,8.5,"199,073",16,01:00,"Wednesday, Thursday","Thriller,Comedy,Romance,Fantasy","Crossworlds Traveler,Attempted Murder,Rich Male Lead,Lovers Separeted,Character Development,Murder,Gun Violence,Revenge,Smart Male Lead,Violence","Han Hyo Joo,Lee Jong Suk"
Hotel del Luna,2019,8.6,"183,598",16,01:19,"Saturday, Sunday","Horror,Comedy,Romance,Fantasy","Supernatural,Boss-Employee Relationship,Ghost,Ghost-seeing Male Lead,Death,Smart Female Lead,Nice Male Lead,Flashback To Past,Warm Man/Cold Woman","IU,Yeo Jin Goo"
Business Proposal,2022,8.7,"177,633",12,01:00,"Monday, Tuesday","Comedy,Romance,Drama","Boss-Employee Relationship,Secondary Couple,Contract Relationship,Fake Identity,CEO Male Lead,Double Identity,Sismance,Rich Male Lead,Cheerful Female Lead,Rich Man/Poor Woman","Ahn Hyo Seop,Kim Se Jeong,Kim Min Gue,Seol In Ah"
